Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	colistin A	definition	A polymyxin having a (6R)-6-methyloctanoyl group at the amino terminus.
ERROR	duplicate_definition	polymyxin B1	definition	A polymyxin having a (6R)-6-methyloctanoyl group at the amino terminus.
ERROR	duplicate_definition	(R)-flutriafol	definition	A 1-(2-fluorophenyl)-1-(4-fluorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethanol that has R configuration.
ERROR	duplicate_definition	(S)-flutriafol	definition	A 1-(2-fluorophenyl)-1-(4-fluorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethanol that has R configuration.
ERROR	missing_label	oboInOwl:Subset	label	
ERROR	deprecated_class_reference	obsolete cell part	rdfs:subClassOf	<http://purl.obolibrary.org/obo/GO_0005634>
ERROR	duplicate_label	towards	label	towards
ERROR	duplicate_label	towards	label	towards
ERROR	duplicate_label	reduced virulence	label	reduced virulence
ERROR	duplicate_label	reduced virulence	label	reduced virulence
ERROR	duplicate_label	increased virulence	label	increased virulence
ERROR	duplicate_label	increased virulence	label	increased virulence
ERROR	duplicate_label	has_part	label	has_part
ERROR	duplicate_label	has_part	label	has_part
ERROR	multiple_definitions	independent continuant	definition	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en
ERROR	multiple_definitions	independent continuant	definition	<b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en>
ERROR	multiple_definitions	process	definition	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en
ERROR	multiple_definitions	process	definition	<p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en>
ERROR	multiple_definitions	specifically dependent continuant	definition	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
ERROR	multiple_definitions	specifically dependent continuant	definition	<b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1 i &lt; j n, ci and cj share no common parts, are such that for each 1 i n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en>
ERROR	multiple_definitions	specifically dependent continuant	definition	<b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en>
ERROR	multiple_definitions	generically dependent continuant	definition	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.@en
ERROR	multiple_definitions	generically dependent continuant	definition	<b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])@en>
ERROR	multiple_definitions	has_part	definition	<Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.>
ERROR	multiple_definitions	has_part	definition	a core relation that holds between a whole and its part@en
ERROR	multiple_definitions	intracellular	definition	A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm.
ERROR	multiple_definitions	intracellular	definition	The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm.
ERROR	multiple_definitions	biological_process	definition	A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.
ERROR	multiple_definitions	biological_process	definition	<Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.>
ERROR	multiple_definitions	biological process involved in symbiotic interaction	definition	A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts.
ERROR	multiple_definitions	biological process involved in symbiotic interaction	definition	An interaction between two organisms living together in more or less intimate association. Microscopic symbionts are often referred to as endosymbionts. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs.
ERROR	multiple_definitions	entry into host	definition	Entry of a symbiont into the body, tissues, or cells of a host organism as part of the symbiont life cycle. The host is defined as the larger of the organisms involved in a symbiotic interaction.
ERROR	multiple_definitions	entry into host	definition	Penetration by an organism into the body, tissues, or cells of the host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.
ERROR	multiple_definitions	symbiotic process benefiting host	definition	A process carried out by symbiont gene products that enables a symbiotic interaction with a host organism, that is beneficial to the host organism.
ERROR	multiple_definitions	symbiotic process benefiting host	definition	An interaction between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other.
ERROR	multiple_definitions	definition	definition	The official OBI definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	definition	definition	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	term replaced by	definition	Add as annotation triples in the granting ontology@en
ERROR	multiple_definitions	term replaced by	definition	Use on obsolete terms, relating the term to another term that can be used as a substitute@en
ERROR	multiple_definitions	regulates	definition	<process(P1) regulates process(P2) iff: P1 results in the initiation or termination of P2 OR affects the frequency of its initiation or termination OR affects the magnitude or rate of output of P2.>
ERROR	multiple_definitions	regulates	definition	x regulates y if and only if the x is the realization of a function to exert an effect on the frequency, rate or extent of y
