?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/PHIPO_0000768>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to thiabendazole. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001217>	"A growth phenotype which describes the sensitivity, resistance or absence of change of individuals or populations after exposure to a specific stress."	
<http://purl.obolibrary.org/obo/PATO_0001999>	"The bearer of this quality has_part < n of the indicated entity type, where n is the normal amount for a comparable organism. Note that the bearer of the quality is the whole, not the part. Formally: If a bearer entity e has fewer parts of type X at time t, then the number of instances x of X at t such that x part_of e is < n, where n is either the normal number for comparable entities, or n is stated explicitly. This case includes the limit case, where the bearer lacks all parts of the specified type."	
<http://purl.obolibrary.org/obo/CHEBI_26895>	"A subclass of polyketides having an octahydrotetracene-2-carboxamide skeleton, substituted with many hydroxy and other groups."	
<http://purl.obolibrary.org/obo/PHIPO_0001007>	"A pathogen host interaction phenotype which affects the morphology of the pathogen or the host during pathogen colonization of the host. This relates to the pathogen colonization of the body, tissues, or cells of the host organism."	
<http://purl.obolibrary.org/obo/PHIPO_0000279>		
<http://purl.obolibrary.org/obo/CHEBI_37533>	"Derivatives of diazene with the general structure R-N=N-R'."	
<http://purl.obolibrary.org/obo/PHIPO_0000835>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to aureobasidin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001315>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to cymoxanil (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/CHEBI_36709>	"Any member of the class of quinolines in which the quinoline skeleton is substituted by one or more amino or substituted-amino groups."	
<http://purl.obolibrary.org/obo/CHEBI_33462>	"A monovalent inorganic anion obtained by deprotonation of one of the two OH groups in phosphonic acid."	"PDBeChem:78T"
<http://purl.obolibrary.org/obo/GO_0009067>	"The chemical reactions and pathways resulting in the formation of amino acids of the aspartate family, comprising asparagine, aspartate, lysine, methionine and threonine."	
<http://purl.obolibrary.org/obo/PHIPO_0000995>	"A pathogen host interaction phenotype, in which the level of pathogen RNA usually present during infection is lower than normal."	
<http://purl.obolibrary.org/obo/CHEBI_7660>	"A heterogeneous mixture of polyene compounds produced by cultures of Streptomyces noursei. It mainly consists of three biologically active components designated nystatin A1, nystatin A2, and nystatin A3. It is used to treat oral and dermal fungal infections."	"DrugBank:DB00646 PMID:34160701 PMID:35178173 PMID:33387388 Drug_Central:1977 PMID:35549875 Wikipedia:Nystatin PMID:33141477 KEGG:D00202 PMID:34033502 PMID:17422416 PMID:34738720 PMID:16740372 PMID:12987085 PMID:18551578 PMID:33279513 PMID:16374455 CAS:1400-61-9 KEGG:C06572 PMID:10427694 PMID:34714482 PMID:35299602 LIPID_MAPS_instance:LMPK06000001 PMID:34946737 PMID:34657217 PMID:33389775 PMID:35195155"
<http://purl.obolibrary.org/obo/CHEBI_47956>	"Any primary amide having its amide oxygen replaced by sulfur."	
<http://purl.obolibrary.org/obo/GO_0052372>	"Any process in which an organism modulates the frequency, rate or extent to which it enters into the host organism, where the two organisms are in a symbiotic interaction."	
<http://purl.obolibrary.org/obo/PHIPO_0000286>	"A single species individual organism phenotype where the accumulation of coloring matter in a cell is normal."	
<http://purl.obolibrary.org/obo/CHEBI_79314>	"Any compound that is added to manufactured materials to inhibit, suppress, or delay the production of flames and so prevent the spread of fire."	"Wikipedia:Flame_retardant"
