Level	Rule Name	Subject	Property	Value
WARN	missing_definition	PHIPO:0000038	IAO:0000115		
WARN	missing_definition	PHIPO:0000041	IAO:0000115		
WARN	missing_definition	PHIPO:0000042	IAO:0000115		
WARN	missing_definition	PHIPO:0000100	IAO:0000115		
WARN	missing_definition	PHIPO:0000101	IAO:0000115		
WARN	missing_definition	PHIPO:0000102	IAO:0000115		
WARN	missing_definition	PHIPO:0000103	IAO:0000115		
WARN	missing_definition	PHIPO:0000157	IAO:0000115		
WARN	missing_definition	PHIPO:0000166	IAO:0000115		
WARN	missing_definition	PHIPO:0000169	IAO:0000115		
WARN	missing_definition	PHIPO:0000170	IAO:0000115		
WARN	missing_definition	PHIPO:0000200	IAO:0000115		
WARN	missing_definition	PHIPO:0000213	IAO:0000115		
WARN	missing_definition	PHIPO:0000215	IAO:0000115		
WARN	missing_definition	PHIPO:0000216	IAO:0000115		
WARN	missing_definition	PHIPO:0000279	IAO:0000115		
WARN	missing_definition	PHIPO:0000293	IAO:0000115		
WARN	missing_definition	PHIPO:0000294	IAO:0000115		
WARN	missing_definition	PHIPO:0000304	IAO:0000115		
WARN	missing_definition	PHIPO:0000399	IAO:0000115		
WARN	missing_definition	PHIPO:0000401	IAO:0000115		
WARN	missing_definition	PHIPO:0000408	IAO:0000115		
WARN	missing_definition	PHIPO:0000411	IAO:0000115		
WARN	missing_definition	PHIPO:0000446	IAO:0000115		
WARN	missing_definition	PHIPO:0000467	IAO:0000115		
WARN	missing_definition	PHIPO:0000950	IAO:0000115		
WARN	invalid_xref	PHIPO:0000220	oboInOwl:hasDbXref	GO_0008152	
WARN	invalid_xref	PHIPO:0000492	oboInOwl:hasDbXref	GO_0008152	
INFO	lowercase_definition	PHIPO:0000305	IAO:0000115	(Required for successful infection of the host species). The ability of an organism to activate or suppress host defences to enable infectious disease. (Irrespective of the host genotype).	
INFO	lowercase_definition	PHIPO:0000311	IAO:0000115	(gene for gene relationships) or defined from the phenotype described in the published study.    The pathogen has the ability to cause infectious disease dependent upon the gene for gene relationship between the pathogen and host genotype.	
INFO	missing_superclass	PHIPO:0000505	rdfs:subClassOf		
