?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PHIPO_0000681>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to nystatin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000865>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to benzylpenicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000337>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete extracellular growth phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000233>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen deoxynivalenol within host present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000612>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to tunicamycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000450>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen peptidase activity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000673>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to thiabendazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001029>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished protein localization to plasma membrane, with protein mislocalized to cytoplasm"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000939>	<http://www.w3.org/2000/01/rdf-schema#label>	"asexual spore lysis absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000890>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to fluconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001015>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of host defense-induced callose deposition"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001246>	<http://www.w3.org/2000/01/rdf-schema#label>	"host PAMP-triggered immunity activated by pathogen present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000970>	<http://www.w3.org/2000/01/rdf-schema#label>	"autophagosomes present in decreased numbers"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000076>	<http://www.w3.org/2000/01/rdf-schema#label>	"altered in pigment accumulation in asexual spore"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000211>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete decreased stature"	
<http://purl.obolibrary.org/obo/PHIPO_0000442>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen asexual reproduction within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001164>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal host reproductive structure development induced by pathogen"	
<http://purl.obolibrary.org/obo/PHIPO_0001238>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased chitinase activity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000708>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cephalexin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000746>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to voriconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000584>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to brefeldin A"@en	
