defined_class	defined_class_label	entity	entity_label
PHIPO:0000022	increased resistance to chemical	CHEBI:24431	chemical entity
PHIPO:0000327	resistance to cyproconazole	CHEBI:81758	cyproconazole
PHIPO:0000377	resistance to carboxin	CHEBI:3405	carboxin
PHIPO:0000381	resistance to benomyl	CHEBI:3015	benomyl
PHIPO:0000382	resistance to diethofencarb	CHEBI:4520	diethofencarb
PHIPO:0000383	resistance to carbendazim	CHEBI:3392	carbendazim
PHIPO:0000384	resistance to thiophanate methyl	CHEBI:35014	thiophanate methyl
PHIPO:0000385	resistance to oxolinic acid	CHEBI:138856	oxolinic acid
PHIPO:0000386	resistance to naftifine	CHEBI:7451	naftifine
PHIPO:0000387	resistance to terbinafine	CHEBI:9448	terbinafine
PHIPO:0000388	resistance to azoxystrobin	CHEBI:40909	azoxystrobin
PHIPO:0000389	resistance to iprodione	CHEBI:28909	iprodione
PHIPO:0000519	resistance to piperacillin	CHEBI:8232	piperacillin
PHIPO:0000520	resistance to florfenicol	CHEBI:87185	florfenicol
PHIPO:0000521	resistance to boscalid	CHEBI:81822	boscalid
PHIPO:0000523	resistance to sordarin	CHEBI:52549	sordarin
PHIPO:0000524	resistance to ketoconazole	CHEBI:47519	ketoconazole
PHIPO:0000526	resistance to carbenicillin	CHEBI:3393	carbenicillin
PHIPO:0000527	resistance to enrofloxacin	CHEBI:35720	enrofloxacin
PHIPO:0000528	resistance to prochloraz	CHEBI:8434	prochloraz
PHIPO:0000529	resistance to virginiamycin	CHEBI:87209	virginiamycin
PHIPO:0000530	resistance to triadimefon	CHEBI:9665	triadimefon
PHIPO:0000531	resistance to cercosporamide	CHEBI:78696	cercosporamide
PHIPO:0000532	resistance to oxytetracycline	CHEBI:27701	oxytetracycline
PHIPO:0000533	resistance to gramicidin D	CHEBI:5530	gramicidin D
PHIPO:0000534	resistance to actinomycin D	CHEBI:27666	actinomycin D
PHIPO:0000535	resistance to rifampin	CHEBI:28077	rifampin
PHIPO:0000536	resistance to triclosan	CHEBI:164200	triclosan
PHIPO:0000537	resistance to captan	CHEBI:34608	captan
PHIPO:0000538	resistance to isoniazid	CHEBI:6030	isoniazid
PHIPO:0000539	resistance to ciprofloxacin	CHEBI:100241	ciprofloxacin
PHIPO:0000540	resistance to polymyxin B	CHEBI:8309	polymyxin B
PHIPO:0000541	resistance to benznidazole	CHEBI:133833	benznidazole
PHIPO:0000542	resistance to ethambutol	CHEBI:4877	ethambutol
PHIPO:0000543	resistance to teicoplanin	CHEBI:29687	teicoplanin
PHIPO:0000544	resistance to cycloheximide	CHEBI:27641	cycloheximide
PHIPO:0000545	resistance to chlorothalonil	CHEBI:3639	chlorothalonil
PHIPO:0000546	resistance to cefotetan	CHEBI:3499	cefotetan
PHIPO:0000548	resistance to hygromycin B	CHEBI:16976	hygromycin B
PHIPO:0000549	resistance to triclabendazole	CHEBI:1086440	triclabendazole
PHIPO:0000550	resistance to ampicillin	CHEBI:28971	ampicillin
PHIPO:0000551	resistance to brassinin	CHEBI:38119	brassinin
PHIPO:0000552	resistance to cefuroximel	CHEBI:3515	cefuroximel
PHIPO:0000553	resistance to aztreonam	CHEBI:161680	aztreonam
